time,temperature
2019-02-16 14:00:00,71.40
2019-02-16 14:15:00,71.81
2019-02-16 14:30:00,72.07
2019-02-16 14:45:00,72.53
2019-02-16 15:00:00,72.79
2019-02-16 15:15:00,73.01
2019-02-16 15:30:00,73.22
2019-02-16 15:45:00,73.35
2019-02-16 16:00:00,73.81
2019-02-16 16:15:00,74.27
2019-02-16 16:30:00,74.68
2019-02-16 16:45:00,74.89
2019-02-16 17:00:00,75.16
2019-02-16 17:15:00,74.28
2019-02-16 17:30:00,73.30
2019-02-16 17:45:00,72.41
2019-02-16 18:00:00,71.70
2019-02-16 18:15:00,70.95
2019-02-16 18:30:00,70.47
2019-02-16 18:45:00,69.94
2019-02-16 19:00:00,69.44
2019-02-16 19:15:00,69.08
2019-02-16 19:30:00,68.64
2019-02-16 19:45:00,68.29
2019-02-16 20:00:00,67.97
2019-02-16 20:15:00,67.69
2019-02-16 20:30:00,67.38
2019-02-16 20:45:00,67.12
2019-02-16 21:00:00,66.87
2019-02-16 21:15:00,66.63
2019-02-16 21:30:00,66.33
2019-02-16 21:45:00,66.13
2019-02-16 22:00:00,65.81
2019-02-16 22:15:00,65.53
2019-02-16 22:30:00,65.33
2019-02-16 22:45:00,65.01
2019-02-16 23:00:00,64.76
2019-02-16 23:15:00,64.78
2019-02-16 23:30:00,64.76
2019-02-16 23:45:00,64.83
2019-02-17 00:00:00,64.63
2019-02-17 00:15:00,64.78
2019-02-17 00:30:00,64.66
2019-02-17 00:45:00,64.49
2019-02-17 01:00:00,64.66
2019-02-17 01:15:00,64.45
2019-02-17 01:30:00,64.37
2019-02-17 01:45:00,64.40
2019-02-17 02:00:00,64.45
2019-02-17 02:15:00,64.36
2019-02-17 02:30:00,64.32
2019-02-17 02:45:00,64.27
2019-02-17 03:00:00,64.14
2019-02-17 03:15:00,64.22
2019-02-17 03:30:00,64.04
2019-02-17 03:45:00,64.11
2019-02-17 04:00:00,64.17
2019-02-17 04:15:00,64.09
2019-02-17 04:30:00,64.00
2019-02-17 04:45:00,64.12
2019-02-17 05:00:00,64.18
2019-02-17 05:15:00,64.07
2019-02-17 05:30:00,65.08
2019-02-17 05:45:00,65.30
2019-02-17 06:00:00,65.55
2019-02-17 06:15:00,64.71
2019-02-17 06:30:00,65.26
2019-02-17 06:45:00,64.50
2019-02-17 07:00:00,64.92
2019-02-17 07:15:00,64.45
2019-02-17 07:30:00,65.01
2019-02-17 07:45:00,64.66
2019-02-17 08:00:00,64.99
2019-02-17 08:15:00,64.58
2019-02-17 08:30:00,64.96
2019-02-17 08:45:00,64.61
2019-02-17 09:00:00,64.63
2019-02-17 09:15:00,64.61
2019-02-17 09:30:00,64.83
2019-02-17 09:45:00,64.71
2019-02-17 10:00:00,64.54
2019-02-17 10:15:00,64.73
2019-02-17 10:30:00,65.05
2019-02-17 10:45:00,64.76
2019-02-17 11:00:00,64.65
2019-02-17 11:15:00,64.94
2019-02-17 11:30:00,65.14
2019-02-17 11:45:00,65.12
2019-02-17 18:30:00,68.99
2019-02-17 18:45:00,68.63
2019-02-17 19:00:00,68.03
2019-02-17 19:15:00,67.69
2019-02-17 19:30:00,67.25
2019-02-17 19:45:00,66.88
2019-02-17 20:00:00,66.48
2019-02-17 20:15:00,66.16
2019-02-17 20:30:00,65.87
2019-02-17 20:45:00,65.57
2019-02-17 21:00:00,65.33
2019-02-17 21:15:00,65.05
2019-02-17 21:30:00,65.12
2019-02-17 21:45:00,64.94
2019-02-17 22:00:00,65.21
2019-03-01 16:00:00,73.26
2019-03-01 16:15:00,76.09
2019-03-01 16:30:00,77.43
2019-03-01 16:45:00,77.92
2019-03-01 17:00:00,74.51
2019-03-01 17:15:00,72.21
2019-03-01 17:30:00,71.82
2019-03-01 17:45:00,71.86
2019-03-01 18:00:00,71.74
2019-03-01 18:15:00,71.80
2019-03-01 18:30:00,71.66
2019-03-01 18:45:00,71.31
2019-03-01 19:00:00,70.89
2019-03-01 19:15:00,70.11
2019-03-01 19:30:00,69.26
2019-03-01 19:45:00,68.54
2019-03-01 20:00:00,67.89
2019-03-01 20:15:00,67.58
2019-03-01 20:30:00,67.77
2019-03-01 20:45:00,67.69
2019-03-01 21:00:00,67.32
2019-03-01 21:15:00,66.75
2019-03-01 21:30:00,66.33
2019-03-01 21:45:00,65.96
2019-03-01 22:00:00,65.62
2019-03-01 22:15:00,65.29
2019-03-01 22:30:00,65.07
2019-03-01 22:45:00,65.35
2019-03-01 23:00:00,64.95
2019-03-01 23:15:00,65.17
2019-03-01 23:30:00,65.19
2019-03-01 23:45:00,64.99
2019-03-02 00:00:00,65.05
2019-03-02 00:15:00,65.13
2019-03-02 00:30:00,64.99
2019-03-02 00:45:00,65.07
2019-03-02 01:00:00,65.17
2019-03-02 01:15:00,65.23
2019-03-02 01:30:00,65.18
2019-03-02 01:45:00,65.23
2019-03-02 02:00:00,65.31
2019-03-02 02:15:00,65.38
2019-03-02 02:30:00,65.44
2019-03-02 02:45:00,65.44
2019-03-02 03:00:00,65.55
2019-03-02 03:15:00,65.52
2019-03-02 03:30:00,65.59
2019-03-02 03:45:00,65.67
2019-03-02 04:00:00,65.71
2019-03-02 04:15:00,65.74
2019-03-02 04:30:00,65.76
2019-03-02 04:45:00,65.79
2019-03-02 05:00:00,65.84
2019-03-02 05:15:00,65.91
2019-03-02 05:30:00,65.91
2019-03-02 05:45:00,66.01
2019-03-02 06:00:00,66.09
2019-03-02 06:15:00,66.06
2019-03-02 06:30:00,66.12
2019-03-02 06:45:00,66.08
2019-03-02 07:00:00,66.07
2019-03-02 07:15:00,66.18
2019-03-02 07:30:00,66.25
2019-03-02 07:45:00,66.31
2019-03-02 08:00:00,66.31
2019-03-02 08:15:00,66.44
2019-03-02 08:30:00,66.27
2019-03-02 08:45:00,66.39
2019-03-02 09:00:00,66.43
2019-03-02 09:15:00,66.50
2019-03-02 09:30:00,66.52
2019-03-02 09:45:00,66.63
2019-03-02 10:00:00,66.68
2019-03-02 10:15:00,66.91
2019-03-02 10:30:00,66.90
2019-03-02 10:45:00,66.98
2019-03-02 11:00:00,66.86
2019-03-02 11:15:00,66.82
2019-03-02 11:30:00,67.05
2019-03-02 11:45:00,66.97
2019-03-02 12:00:00,66.91
2019-03-02 12:15:00,66.72
2019-03-02 12:30:00,66.88
2019-03-02 12:45:00,66.78
2019-03-02 13:00:00,66.88
2019-03-02 13:15:00,66.90
2019-03-02 13:30:00,66.92
2019-03-02 13:45:00,66.93
